AGE,B,RM,CRIM,DIS,INDUS,LSTAT,NOX,PTRATIO,RAD,ZN,TAX,CHAS,Target
92.6,396.9,6.193,8.64476,1.7912,18.1,15.17,0.693,20.2,24,0.0,666,0,13.8
6.6,383.37,6.169,0.1415,5.7209,6.91,5.81,0.448,17.9,3,0.0,233,0,25.3
99.1,396.9,6.545,15.8744,1.5192,18.1,21.08,0.671,20.2,24,0.0,666,0,10.9
82.8,393.39,6.266,0.26938,3.2628,9.9,7.9,0.544,18.4,4,0.0,304,0,21.6
69.6,391.83,6.163,0.11504,3.4952,2.89,11.34,0.445,18.0,2,0.0,276,0,21.4
36.9,393.53,7.82,0.08187,3.4952,2.89,3.57,0.445,18.0,2,0.0,276,0,43.8
8.4,396.9,8.259,0.36894,8.9067,5.86,3.54,0.431,19.1,7,22.0,330,0,42.8
90.3,376.88,5.813,0.67191,4.682,8.14,14.81,0.538,21.0,4,0.0,307,0,16.6
73.1,338.63,5.872,0.13058,2.4775,10.01,15.37,0.547,17.8,6,0.0,432,0,20.4
73.3,385.91,8.337,0.57529,3.8384,6.2,2.47,0.507,17.4,8,0.0,307,0,41.7
98.1,396.9,5.277,16.8118,1.4261,18.1,30.81,0.7,20.2,24,0.0,666,0,7.2
42.1,388.65,5.856,0.29916,4.429,6.96,13.0,0.464,18.6,3,20.0,223,0,21.1
66.6,395.6,6.012,0.08829,5.5605,7.87,12.43,0.524,15.2,5,12.5,311,0,22.9
82.5,396.9,6.635,0.49298,3.3175,9.9,4.54,0.544,18.4,4,0.0,304,0,22.8
54.2,396.9,7.147,0.06905,6.0622,2.18,5.33,0.458,18.7,3,0.0,222,0,36.2
98.7,396.9,6.185,9.32909,2.2616,18.1,18.13,0.713,20.2,24,0.0,666,0,14.1
81.3,390.74,6.112,4.26131,2.5091,18.1,12.67,0.77,20.2,24,0.0,666,0,22.6
54.3,396.9,6.376,0.18159,4.5404,7.38,6.87,0.493,19.6,5,0.0,287,0,23.1
59.1,381.32,6.064,0.13587,4.2392,10.59,14.66,0.489,18.6,4,0.0,277,1,24.4
96.1,297.09,6.319,2.3004,2.1,19.58,11.1,0.605,14.7,5,0.0,403,0,23.8
95.4,388.69,5.822,0.32982,2.4699,21.89,15.03,0.624,21.2,4,0.0,437,0,18.4
100.0,396.9,6.343,14.2362,1.5741,18.1,20.32,0.693,20.2,24,0.0,666,0,7.2
62.8,392.4,5.56,0.76162,1.9865,3.97,10.45,0.647,13.0,5,20.0,264,0,22.8
43.7,396.9,6.083,0.24103,5.4159,7.38,12.79,0.493,19.6,5,0.0,287,0,22.2
41.5,396.9,5.85,0.08014,3.9342,5.96,8.77,0.499,19.2,5,0.0,279,0,21.0
100.0,210.97,5.155,28.6558,1.5894,18.1,20.08,0.597,20.2,24,0.0,666,0,16.3
83.7,272.21,6.301,7.75223,2.7831,18.1,16.23,0.713,20.2,24,0.0,666,0,14.9
66.2,395.11,5.741,0.14932,7.2254,5.13,13.15,0.453,19.7,8,25.0,284,0,18.7
